                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.0358,                 1.7277,                 0.8498,                 1.1353,                0.72065,                0.32727,                0.36761,                0.18631,                0.63774,                0.29091,                0.30959,                0.15874,                 1.7975,                 3.3903,                 2.4185,                 1.7578,              0.0014522,              0.0014522,              0.0014522
                     86,                0.99838,                 1.6365,                0.86237,                 1.1178,                0.60364,                0.29075,                0.28441,                0.15981,                0.55211,                0.27273,                0.24861,                 0.1329,                 1.8053,                 3.3317,                 2.6781,                  1.814,              0.0014456,              0.0014456,              0.0014456
                     87,                0.97676,                 1.6515,                0.82495,                  1.135,                0.61134,                0.29091,                0.32854,                0.17541,                0.57313,                0.27273,                0.30001,                0.15274,                 1.8145,                 3.3257,                 2.3689,                 1.8066,               0.001439,               0.001439,               0.001439
                     88,                 1.0004,                 1.6761,                0.85209,                 1.1364,                0.66397,                0.31818,                0.39936,                0.21106,                0.69773,                0.27273,                  0.356,                  0.175,                  1.812,                 3.3297,                  2.061,                 1.7646,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.0225,                 1.6854,                0.85234,                 1.1268,                0.47075,                    0.4,                0.36533,                 0.2025,                0.44014,                0.35022,                0.32083,                0.15041,                 1.7086,                 3.3283,                 2.0999,                 1.6528,              0.0014258,              0.0014258,              0.0014258
                     90,                0.98984,                  1.585,                0.82348,                 1.1299,                0.58975,                0.39091,                0.39144,                0.22348,                0.56396,                0.40909,                0.36845,                0.18899,                 1.7027,                 3.3548,                 1.9417,                 1.5695,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.0324,                 1.6143,                0.84778,                 1.1488,                0.54357,                0.43636,                0.40666,                0.22002,                0.59726,                0.37752,                0.38387,                0.20386,                 1.7151,                 3.3488,                 1.8736,                 1.6444,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.0213,                 1.5301,                0.80835,                 1.1285,                0.47944,                0.38182,                0.34871,                0.19443,                0.60206,                0.29091,                0.31432,                0.16335,                 1.6925,                 3.4942,                 1.9261,                 1.6158,               0.001406,               0.001406,               0.001406
                     93,                0.95045,                 1.6547,                0.81849,                 1.0979,                0.55704,                0.36364,                0.41441,                0.19756,                0.48204,                0.38182,                 0.3641,                0.17198,                 1.8275,                 3.3924,                  1.867,                 1.7103,              0.0013994,              0.0013994,              0.0013994
                     94,                0.95827,                 1.5762,                0.81315,                 1.0803,                0.55524,                0.38182,                0.37457,                0.19023,                0.51405,                0.35455,                0.35743,                0.17417,                 1.7853,                 3.3319,                 1.9849,                 1.6845,              0.0013928,              0.0013928,              0.0013928
                     95,                0.95269,                 1.6767,                0.81261,                 1.1068,                0.57148,                0.32735,                0.36345,                0.19591,                0.61672,                0.32727,                0.34529,                0.18126,                 1.6734,                  3.438,                 2.0602,                 1.6143,              0.0013862,              0.0013862,              0.0013862
                     96,                0.94598,                 1.6208,                0.78858,                 1.0726,                0.53453,                    0.4,                0.37564,                0.19288,                0.56235,                0.31818,                0.33446,                0.17723,                 1.7111,                 3.2826,                 2.1098,                 1.6714,              0.0013796,              0.0013796,              0.0013796
                     97,                0.90181,                 1.4642,                0.70521,                 1.0582,                 0.5619,                0.39091,                0.37622,                0.20488,                0.53633,                0.36364,                0.33884,                0.18782,                   1.71,                 3.3184,                 2.0919,                 1.6629,               0.001373,               0.001373,               0.001373
