                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.3241,                 1.0259,                 1.3025,                0.52567,                0.44231,                0.43705,                0.19432,                 2.3214,                 2.0257,                 2.0094,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.3106,                0.93497,                 1.2385,                0.40387,                0.42308,                0.36844,                 0.1797,                 2.4439,                 2.2396,                 2.1339,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.3392,                0.94142,                 1.2748,                 0.4825,                0.42308,                0.39643,                0.20508,                 2.3944,                 2.1914,                 2.1076,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.3411,                0.94767,                 1.2851,                0.41721,                0.36538,                0.31323,                0.13828,                 2.5067,                 2.4803,                 2.2517,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.3188,                0.92603,                 1.2425,                0.62429,                0.30769,                0.32619,                0.14642,                 2.3485,                 2.3058,                 2.1326,               0.001439,               0.001439,               0.001439
                     88,                 1.2882,                0.93737,                 1.2498,                0.44023,                0.37819,                0.29659,                0.12996,                 2.3378,                 2.4905,                 2.0456,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.3147,                0.97113,                 1.2676,                0.55146,                0.33111,                0.33421,                0.17325,                 2.3187,                 2.3185,                  2.072,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.2567,                0.93545,                 1.2151,                 0.5154,                0.44231,                0.40825,                0.18466,                 2.4559,                 1.9693,                 2.2297,              0.0014192,              0.0014192,              0.0014192
                     91,                  1.253,                0.97149,                  1.235,                 0.4582,                0.51923,                0.44061,                0.18437,                 2.4739,                 1.8433,                 2.1486,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.2363,                0.92781,                 1.2439,                0.59082,                0.44231,                0.42884,                0.21914,                 2.2882,                 1.7745,                 2.0232,               0.001406,               0.001406,               0.001406
                     93,                 1.2286,                0.91514,                 1.2334,                0.65773,                0.42308,                 0.4612,                0.20426,                 2.2454,                 1.9255,                  1.959,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.2695,                0.91465,                 1.2666,                0.72173,                0.38462,                0.43943,                0.20001,                 2.2965,                 2.1038,                 1.9145,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.2666,                0.88429,                 1.2406,                0.45851,                0.51923,                0.49059,                0.21795,                 2.3208,                 1.9624,                 1.9277,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.2385,                0.84174,                 1.2021,                0.57655,                0.54996,                0.51134,                0.21614,                 2.2683,                 1.8368,                 1.9479,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.2539,                0.88157,                 1.2265,                0.57354,                 0.5173,                0.47794,                0.21494,                  2.334,                   1.98,                 2.0169,               0.001373,               0.001373,               0.001373
                     98,                 1.2875,                0.90806,                  1.221,                0.38286,                0.42308,                0.37646,                0.18674,                 2.2281,                 2.2714,                  1.997,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.2298,                0.85901,                 1.2134,                0.60473,                0.41203,                0.43741,                0.18355,                 2.2568,                 2.1902,                 1.9899,              0.0013598,              0.0013598,              0.0013598
